# StatLean API index — 614 declarations
# Generated by scripts/gen_statlean_index.py
# Format: name<TAB>file:line<TAB>kind
# Usage: grep -i '<keyword>' theme/statlean_api_index.tsv
LocalizedProxyCriticalAssumptions.ofProcessAndEntropy	Statlean/Regression/MasterBound.lean:575	lemma
LocalizedProxyCriticalAssumptions.toDeterministic	Statlean/Regression/MasterBound.lean:471	lemma
LyapunovCondition	Statlean/LimitTheorems/Convergence.lean:784	def
MSE	Statlean/Estimator/Basic.lean:176	noncomputable def
MomentConvergence	Statlean/LimitTheorems/Convergence.lean:140	def
NatExpFamily.logDensityRatio	Statlean/ExpFamily/Basic.lean:87	def
NatExpFamily.logDensityRatioViaT	Statlean/ExpFamily/Basic.lean:99	def
NatExpFamily.logDensityRatio_eq_comp	Statlean/ExpFamily/Basic.lean:104	theorem
NatExpFamily.logDensityRatio_factors	Statlean/ExpFamily/Basic.lean:92	theorem
NeymanPearsonTest.toFun	Statlean/Testing/Basic.lean:88	noncomputable def
PowerFunction	Statlean/Testing/Basic.lean:38	noncomputable def
Risk	Statlean/Estimator/Basic.lean:65	noncomputable def
SatisfiesLSI	Statlean/Entropy/Basic.lean:40	def
SatisfiesLSI.apply	Statlean/Entropy/Basic.lean:238	lemma
SatisfiesLSI.mono	Statlean/Entropy/Basic.lean:227	lemma
Size	Statlean/Testing/Basic.lean:53	noncomputable def
TensorizationLSIAt	Statlean/Entropy/Basic.lean:47	def
TotalVariationConvergence	Statlean/LimitTheorems/Convergence.lean:164	def
TypeIError	Statlean/Testing/Basic.lean:43	noncomputable def
TypeIIError	Statlean/Testing/Basic.lean:48	noncomputable def
UniversalHerbstBound	Statlean/SubGaussian/Herbst.lean:31	def
UniversalTensorizationLSI	Statlean/Entropy/Basic.lean:58	def
WeakConvergence	Statlean/LimitTheorems/Convergence.lean:181	def
abel_sinc_integral	Statlean/LimitTheorems/BerryEsseen.lean:649	private lemma
abs_mul_log_le_sq_add_one	Statlean/Entropy/LogSobolev.lean:232	lemma
