NAME	KIND
BoundedContinuousFunction.forall_coe_one_iff_one	thm
BoundedContinuousFunction.forall_coe_zero_iff_zero	thm
BoundedContinuousFunction.hasNatPow	def
BoundedContinuousFunction.indicator	def
BoundedContinuousFunction.indicator_apply	thm
BoundedContinuousFunction.innerProbChar	def
BoundedContinuousFunction.innerProbChar_apply	thm
BoundedContinuousFunction.innerProbChar_zero	thm
BoundedContinuousFunction.instAdd	def
BoundedContinuousFunction.instAdd.congr_simp	thm
BoundedContinuousFunction.instAddCommGroup	def
BoundedContinuousFunction.instAddCommMonoid	def
BoundedContinuousFunction.instAddCommMonoid.congr_simp	thm
BoundedContinuousFunction.instAddMonoid	def
BoundedContinuousFunction.instAddZeroClass	def
BoundedContinuousFunction.instAlgebra	def
BoundedContinuousFunction.instBoundedContinuousMapClass	thm
BoundedContinuousFunction.instCStarAlgebra	def
BoundedContinuousFunction.instCStarRing	thm
BoundedContinuousFunction.instCoeTC	def
BoundedContinuousFunction.instCommCStarAlgebra	def
BoundedContinuousFunction.instCommMonoid	def
BoundedContinuousFunction.instCommMonoid.congr_simp	thm
BoundedContinuousFunction.instCommRing	def
BoundedContinuousFunction.instCompleteSpace	thm
BoundedContinuousFunction.instContinuousEval	thm
BoundedContinuousFunction.instContinuousEvalConst	thm
BoundedContinuousFunction.instDist	def
BoundedContinuousFunction.instDistribMulAction	def
BoundedContinuousFunction.instDistribMulAction.congr_simp	thm
BoundedContinuousFunction.instFunLike	def
BoundedContinuousFunction.instHasSolidNorm	thm
BoundedContinuousFunction.instInf	def
BoundedContinuousFunction.instInhabited	def
BoundedContinuousFunction.instIntCast	def
BoundedContinuousFunction.instIntCast_1	def
BoundedContinuousFunction.instIsBoundedSMul	thm
BoundedContinuousFunction.instIsBoundedSMul_1	thm
BoundedContinuousFunction.instIsCentralScalar	thm
BoundedContinuousFunction.instIsOrderedAddMonoid	thm
BoundedContinuousFunction.instIsScalarTower	thm
BoundedContinuousFunction.instIsScalarTower_1	thm
BoundedContinuousFunction.instLattice	def
BoundedContinuousFunction.instLipschitzAdd	thm
BoundedContinuousFunction.instMetricSpace	def
BoundedContinuousFunction.instModule	def
BoundedContinuousFunction.instModule'	def
BoundedContinuousFunction.instModule.congr_simp	thm
BoundedContinuousFunction.instMonoid	def
BoundedContinuousFunction.instMonoid.congr_simp	thm
BoundedContinuousFunction.instMul	def
BoundedContinuousFunction.instMul.congr_simp	thm
BoundedContinuousFunction.instMulAction	def
BoundedContinuousFunction.instMulOneClass	def
BoundedContinuousFunction.instNatCast	def
BoundedContinuousFunction.instNatCast_1	def
BoundedContinuousFunction.instNeg	def
BoundedContinuousFunction.instNonUnitalCStarAlgebra	def
BoundedContinuousFunction.instNonUnitalCommCStarAlgebra	def
BoundedContinuousFunction.instNonUnitalNormedCommRing	def
BoundedContinuousFunction.instNonUnitalNormedRing	def
